user_id,product_id,rating
u1,207950103,4
u1,208697014,3
u1,208883908,5
u1,209463008,3
u1,208042562,5
u1,208777155,5
u1,209272998,5
u1,208778188,4
u1,208660830,5
u1,208224606,5
u1,208361192,4
u1,208057246,2
u1,208785193,3
u1,208776875,5
u1,208633386,1
u1,207949746,5
u1,208785193,5
u1,209079005,4
u1,209338318,3
u1,207949746,5
u1,208884004,5
u1,206656950,2
u1,209092837,2
u1,209079006,4
u1,208697014,5
u1,209459861,2
u1,209041793,2
u1,208465812,5
u1,208966554,4
u1,208785193,5
u1,208952665,5
u1,209226004,3
u1,208699646,4
u1,208660830,4
u1,206817071,3
u1,208952665,5
u1,209226186,1
u1,208947173,5
u1,209549751,2
u1,209079005,5
u1,209277572,2
u1,208776875,5
u1,23560886,1
u1,209527222,2
u1,208823285,5
u1,208465812,5
u1,208660676,5
u1,208778188,5
u1,208776702,4
u1,208776702,5
u1,208697014,5
u1,209256890,1
u1,208777155,4
u1,209459860,2
u1,208966548,5
u1,209338396,2
u1,207949746,4
u1,208465812,5
u1,208778188,4
u1,209006193,2
u1,209422610,3
u1,209338318,3
u1,209279605,2
u1,208042562,5
u1,208361192,5
u1,209338733,1
u1,208549738,1
u1,208883908,4
u1,208696103,2
u1,209338318,2
u1,208776837,4
u1,208966548,5
u1,209079082,4
u1,208898537,1
u1,207950103,5
u1,208966554,5
u1,208492175,2
u1,208697082,5
u1,209459861,2
u1,208823285,5
u1,208888086,2
u1,209347263,2
u1,206656956,3
u1,209079082,5
u1,209338396,2
u1,206817079,1
u1,208604532,2
u1,209459861,3
u1,208898155,1
u1,209079082,5
u1,208697082,5
u1,208966519,5
u1,208778188,5
u1,208697014,5
u1,208120878,5
u1,209079005,5
u1,209325572,2
u1,208952665,4
u1,208661715,3
u1,208946985,5
u2,209001678,5
u2,209422610,4
u2,209338596,2
u2,209485512,5
u2,208884004,3
u2,209459893,5
u2,209078961,2
u2,208369661,3
u2,209125289,5
u2,208220236,3
u2,209550454,5
u2,209281135,4
u2,209083297,5
u2,209256890,5
u2,209325572,5
u2,209372266,5
u2,208776837,2
u2,209320846,1
u2,209347263,5
u2,209125289,5
u2,209445940,1
u2,208903800,5
u2,209459893,5
u2,209325572,5
u2,208966519,3
u2,209168495,5
u2,209618579,5
u2,209372266,4
u2,209372304,5
u2,209459861,5
u2,208614624,5
u2,209205295,5
u2,209465167,5
u2,209256890,5
u2,209277572,3
u2,209001678,5
u2,209041793,5
u2,209459863,5
u2,209459861,5
u2,209372304,4
u2,209059787,1
u2,208776487,3
u2,209125289,5
u2,209459862,5
u2,209256890,5
u2,208694142,5
u2,209079006,1
u2,209084518,5
u2,209281135,4
u2,208823286,1
u2,22786800,2
u2,209125053,5
u2,209100021,2
u2,208614624,4
u2,209325572,5
u2,209485512,5
u2,208120724,1
u2,209485512,5
u2,208604532,3
u2,209041793,5
u2,209549751,5
u2,209172344,5
u2,209172344,4
u2,209078961,1
u2,209439875,5
u2,208042562,2
u2,209281135,5
u2,209172344,4
u2,209125053,5
u2,209439875,4
u2,208788811,4
u2,209142303,5
u2,209006193,4
u2,209142303,4
u2,209463559,5
u2,209463559,5
u2,208451816,2
u2,209436881,3
u2,209325572,5
u2,209338596,2
u2,207949746,1
u2,209320846,1
u2,208549738,2
u2,208952665,2
u2,209549751,5
u2,208765895,2
u2,208936219,2
u2,209485512,5
u2,209463559,5
u2,208047641,2
u2,209459893,5
u2,209463008,5
u2,209550454,5
u2,209083297,5
u2,209338453,2
u2,209205295,5
u2,209372266,5
u2,209125482,5
u2,209172344,5
u2,209281412,5
u3,208347327,4
u3,208936219,5
u3,209338733,5
u3,209521838,5
u3,208492175,5
u3,209018019,5
u3,209527222,3
u3,209059787,4
u3,208492175,3
u3,208777741,3
u3,208761307,5
u3,207695449,1
u3,208604532,4
u3,209078961,3
u3,208715074,4
u3,209338476,5
u3,209100021,4
u3,209338540,5
u3,208788811,3
u3,208369661,4
u3,208313526,5
u3,208057288,5
u3,208425804,5
u3,209338733,4
u3,209045340,5
u3,209275508,3
u3,208715037,5
u3,209141221,3
u3,209436881,4
u3,209220066,5
u3,209554549,3
u3,208224606,2
u3,209220066,5
u3,209413338,1
u3,208697082,2
u3,208492175,5
u3,209338540,5
u3,209220066,5
u3,208313526,5
u3,208947094,2
u3,209459862,2
u3,208715067,5
u3,201071505,5
u3,208604532,5
u3,209445940,5
u3,209045340,3
u3,209045340,4
u3,209521838,4
u3,201071505,5
u3,208715037,5
u3,209514892,3
u3,209220066,5
u3,209618579,2
u3,207151517,2
u3,209220066,5
u3,208761307,5
u3,209277572,3
u3,209338733,5
u3,209079005,2
u3,209430762,5
u3,208451816,5
u3,208613976,3
u3,208057270,5
u3,208715074,4
u3,208715074,5
u3,208425804,5
u3,208966548,1
u3,209226004,2
u3,208313526,5
u3,209485512,1
u3,209141221,2
u3,209059787,4
u3,209459862,2
u3,208057258,5
u3,208057246,5
u3,208047641,5
u3,209079006,3
u3,209239030,1
u3,208047641,4
u3,208057246,4
u3,209338453,5
u3,209445940,5
u3,208347327,5
u3,208057288,5
u3,208057270,5
u3,209278166,2
u3,208715074,5
u3,208549738,5
u3,209059787,5
u3,209030491,5
u3,208761307,5
u3,208697014,2
u3,209439854,2
u3,208057246,5
u3,209220066,4
u3,208604532,5
u3,208057288,4
u3,208347327,5
u3,209006193,2
u3,208220236,5
u4,209485586,4
u4,209079005,2
u4,209078961,1
u4,207729972,4
u4,208603285,4
u4,209278687,5
u4,209338728,5
u4,208710560,5
u4,209485512,2
u4,208057258,2
u4,209320846,1
u4,209338596,5
u4,23560886,5
u4,208765895,5
u4,209278996,5
u4,209078961,2
u4,207776603,5
u4,209275508,4
u4,208120878,3
u4,209338692,5
u4,208120724,1
u4,209338596,4
u4,208614624,2
u4,208765926,5
u4,209338728,5
u4,208042562,2
u4,206817079,5
u4,208603290,5
u4,208603285,4
u4,208896502,5
u4,208776837,2
u4,209532238,5
u4,209084518,2
u4,209239030,5
u4,209338540,3
u4,209338692,4
u4,208697014,1
u4,208510890,5
u4,209226186,5
u4,208369661,3
u4,208057258,3
u4,208042562,2
u4,206656950,5
u4,209338656,3
u4,208697082,3
u4,209141013,5
u4,209278021,5
u4,209275508,5
u4,208898183,5
u4,209277634,5
u4,209338596,5
u4,208220236,1
u4,207729715,5
u4,209338540,3
u4,208057270,3
u4,209454337,4
u4,208425804,1
u4,209018180,5
u4,208710560,5
u4,209338596,5
u4,207684937,5
u4,209618579,1
u4,209631644,5
u4,209456062,4
u4,209277572,5
u4,209225972,4
u4,208765895,5
u4,208770083,5
u4,209338656,5
u4,209279613,5
u4,209554549,5
u4,208770083,4
u4,208317935,5
u4,208697014,1
u4,208785193,1
u4,209278996,4
u4,209413338,4
u4,209338692,5
u4,208888086,5
u4,208765926,5
u4,207949746,1
u4,209279079,4
u4,209092837,4
u4,208966519,1
u4,209197349,4
u4,209059787,3
